age_yrBP,warming_count_20k,cold_fraction_20k,mean_cold_duration_yr,mean_warm_duration_yr,pre_phase_like,lr04_10k,co2_10k,mean_cold_duration_kyr_raw,mean_cold_duration_kyr,Time
789000.0,3.0,0.5361596009975063,4875.0,3100.0,-0.027436979056099535,3.9314999999999998,246.1452180278392,4.875,4.875,1
788000.0,2.0,0.57356608478803,4875.0,3050.0,-0.029668636768438308,3.8354999999999997,250.35047747755547,4.875,4.875,2
787000.0,2.0,0.6234413965087282,4875.0,3050.0,-0.02903146850029589,3.7625,253.09407416965496,4.875,4.875,3
786000.0,2.0,0.6733167082294265,4875.0,3050.0,-0.025580741748738964,3.692,255.49039804278792,4.875,4.875,4
785000.0,3.0,0.6683291770573566,5250.0,3050.0,-0.01964729001674518,3.624,257.4464636290139,5.25,5.25,5
784000.0,3.0,0.6184538653366584,5250.0,3050.0,-0.011922033864805587,3.5830000000000006,257.92587078438703,5.25,5.25,6
783000.0,3.0,0.5685785536159601,5250.0,3050.0,-0.002872525430553282,3.569,256.6098145444185,5.25,5.25,7
782000.0,2.0,0.5336658354114713,5250.0,3225.0,0.006331788959439988,3.56,254.75226165240497,5.25,5.25,8
781000.0,2.0,0.5835411471321695,5250.0,3225.0,0.015007680131848129,3.556,252.983982279746,5.25,5.25,9
780000.0,2.0,0.6334164588528678,5250.0,3225.0,0.022193342830388662,3.5645000000000002,251.23941808073783,5.25,5.25,10
779000.0,2.0,0.6783042394014963,4200.0,3225.0,0.027229867779992034,3.5855000000000006,249.19815976196895,4.2,4.2,11
778000.0,3.0,0.6359102244389028,3775.0,3225.0,0.02962396308707686,3.6125,247.98342746916984,3.775,3.775,12
777000.0,3.0,0.5860349127182045,3775.0,3225.0,0.029104814064463524,3.6455000000000006,246.45945144419707,3.775,3.775,13
776000.0,3.0,0.5361596009975063,3775.0,3225.0,0.025728263349516323,3.6875,244.0129726782764,3.775,3.775,14
775000.0,3.0,0.516209476309227,3775.0,3233.3333333333335,0.019747096456771404,3.7384999999999997,241.3255708811643,3.775,3.775,15
774000.0,3.0,0.516209476309227,3775.0,3233.3333333333335,0.011875751811923393,3.7894999999999994,238.02848099065827,3.775,3.775,16
773000.0,3.0,0.516209476309227,3775.0,3233.3333333333335,0.0027601035368945486,3.8405,235.41555024736272,3.775,3.775,17
772000.0,2.0,0.5561097256857855,3775.0,3300.0,-0.006734981970534135,3.8895000000000004,233.50738204684916,3.775,3.775,18
771000.0,3.0,0.5910224438902744,3950.0,3300.0,-0.015478080974166055,3.9365,232.18529385877082,3.95,3.95,19
770000.0,3.0,0.5910224438902744,3950.0,3300.0,-0.022731318396329723,3.9859999999999998,230.65034227290658,3.95,3.95,20
769000.0,3.0,0.571072319201995,3825.0,2866.6666666666665,-0.027642795323231006,4.038,228.83970941669637,3.825,3.825,21
768000.0,4.0,0.5635910224438903,2933.3333333333335,2866.6666666666665,-0.02972898926549072,4.0760000000000005,225.8580315942666,2.9333333333333336,2.9333333333333336,22
767000.0,4.0,0.5361596009975063,2933.3333333333335,2325.0,-0.02868579691275148,4.1,223.72789436003671,2.9333333333333336,2.9333333333333336,23
766000.0,4.0,0.5361596009975063,2933.3333333333335,2325.0,-0.02462675743769878,4.129,222.99770247287688,2.9333333333333336,2.9333333333333336,24
765000.0,4.0,0.5586034912718204,2800.0,1983.3333333333333,-0.017786931522523954,4.163,222.66274082108106,2.8,2.8,25
764000.0,4.0,0.5586034912718204,2800.0,1983.3333333333333,-0.00912054672624573,4.189500000000001,222.67985099924059,2.8,2.8,26
763000.0,4.0,0.57356608478803,2800.0,1925.0,0.0007194872472642157,4.2085,221.80231248775718,2.8,2.8,27
762000.0,5.0,0.57356608478803,2075.0,1925.0,0.010505208812177879,4.242,219.86835589150783,2.075,2.075,28
761000.0,5.0,0.5236907730673317,2075.0,1925.0,0.019220002448186946,4.29,217.34091794365244,2.075,2.075,29
760000.0,5.0,0.5037406483790524,2075.0,1990.0,0.02573402367267231,4.3275,214.96526173734645,2.075,2.075,30
759000.0,6.0,0.4912718204488778,1930.0,1990.0,0.029292953387580447,4.3545,213.23397195296883,1.93,1.93,31
758000.0,5.0,0.5087281795511222,1930.0,1480.0,0.0293337522624999,4.3865,211.47905634029317,1.93,1.93,32
757000.0,5.0,0.5586034912718204,1930.0,1480.0,0.02567456456990682,4.4235,209.274606505767,1.93,1.93,33
756000.0,6.0,0.5985037406483791,2000.0,1480.0,0.01873180802047631,4.4555,206.18134014063403,2.0,2.0,34
