LibSize,rho_obs,rho_null_median,rho_null_lo95,rho_null_hi95
61,0.2975842362355574,-0.007211376544686796,-0.08048509922995949,0.08289842307769626
159,0.4325796055027317,0.00357960117609476,-0.08614208889898134,0.09351215942032406
257,0.49930959607646125,0.003037834358751175,-0.09296834618911345,0.0863634606614282
355,0.5273894495810615,-0.0006044804327146928,-0.08777774047473483,0.08684122117826817
453,0.5661241274853998,-0.000865410381893683,-0.09580897703994985,0.09207087594891655
551,0.6336186886028712,0.0001930122859889683,-0.09472722913856971,0.0999121503752328
