LibSize,rho_obs,rho_null_median,rho_null_lo95,rho_null_hi95
77,0.28137316920298566,-0.003931945427130799,-0.07850103849953527,0.07667276689946266
201,0.28602511205683023,-0.004277323648358064,-0.07336180021772325,0.06844280354321278
324,0.3093273084519143,-0.0024620427514808686,-0.07706928871296012,0.08796894095726288
448,0.34127955521261283,-0.0033386512030876983,-0.08428267112680582,0.0902666671013505
571,0.35461791891168665,0.0032268938133381588,-0.07203469841687335,0.09383713439877486
695,0.34946472339365015,-0.0014041707818711609,-0.090056668957456,0.10075542724772095
