LibSize,rho_obs,rho_null_median,rho_null_lo95,rho_null_hi95
61,0.24847993475623617,-0.003266409562346922,-0.08618212856947403,0.0714607043787216
159,0.4171872656441472,0.00014110460973749557,-0.08303141808244528,0.08545422393134153
257,0.5129982330067916,-0.006890625677647188,-0.10581495486172825,0.08188577354792569
355,0.5860881236160368,-0.0040169764584884835,-0.10105168029009384,0.08199413713897394
453,0.6620920777567711,-0.004828227898253451,-0.10860043447049152,0.08061861207203704
551,0.7010982698910933,-0.005809556110858262,-0.10600171628045339,0.0973807757743843
