lag_kyr,rho_median_smooth,rho_lo5_smooth,rho_hi95_smooth,rho_mean_raw
-8.0,0.545979013231253,0.5021765202966163,0.5845807398644465,0.5532037243956219
-7.0,0.5336480806628707,0.49166535399439953,0.5771639755179913,0.5301945244172571
-6.0,0.5135027036279793,0.4632582518898021,0.5590571441423295,0.5187642080153813
-5.0,0.4990656604556407,0.4477996783923168,0.5296667907333528,0.48508814992344407
-4.0,0.48057047148498466,0.4284111579478094,0.5050393531176346,0.4862755752682988
-3.0,0.4539861494986964,0.4207200397405516,0.48374768949764313,0.4485441256461776
-2.0,0.4206310027491514,0.40136801835451563,0.45628794730843514,0.43245217562941357
-1.0,0.40035100887974256,0.3695084290922339,0.42240951841237295,0.3960542130168279
0.0,0.37015937507849606,0.34895262620471973,0.39812980309693546,0.35362521679637776
1.0,0.3595120696703108,0.3312805739262462,0.3744363326063114,0.3666306026041304
2.0,0.3449561950735831,0.32581015657562296,0.3750665005055721,0.3413682607427101
3.0,0.3438606854478,0.3121501431962648,0.37301926095176413,0.3477428038477876
4.0,0.3386694453311097,0.3074458869620854,0.3809482344276896,0.3446023575234045
5.0,0.3386328020948584,0.31204315366449253,0.36791699017867663,0.3377457179564797
6.0,0.33323823228476823,0.3101009554024565,0.36324641175584743,0.32950785577481956
7.0,0.3380620059578169,0.3060460161692674,0.36678601069759015,0.33484549990139556
8.0,0.35625616531143317,0.30633820420015156,0.3767315010767385,0.3553912240807936
