LibSize,rho_obs,rho_null_median,rho_null_lo95,rho_null_hi95
61,-0.0006783085696327436,-0.0003002288535473609,-0.08224731972356007,0.0868333262449328
159,-0.04545403785740831,-0.006070433740525892,-0.07967929044770011,0.07413416816180073
257,0.009796617277897556,-0.01104246382799091,-0.08304770539083493,0.10267417992563926
355,-0.03785888331739758,-0.003169210410469457,-0.08318033290127048,0.09422844682244201
453,-0.0162443892815355,-0.00922170247804901,-0.0867624405989101,0.10227789943857911
551,0.009694290218356959,-0.003913340241759983,-0.10611964318860274,0.10989201131189624
