lag_kyr,rho_median_smooth,rho_lo5_smooth,rho_hi95_smooth,rho_mean_raw
-8.0,0.4688188359441692,0.43855882912922173,0.4935088797956984,0.46731410421386804
-7.0,0.4744806876660761,0.44107680986789666,0.4902696192601992,0.48061282830322705
-6.0,0.46710363826423784,0.4543656087549343,0.49843151001692376,0.46733841139134136
-5.0,0.46648527628668995,0.44429672297665807,0.4874166737395309,0.46842914346972037
-4.0,0.461310572849174,0.44175732094478876,0.4881136786445661,0.46298713677254294
-3.0,0.4577793904131128,0.43895304219746645,0.4760235749123391,0.4541298299402567
-2.0,0.45858738310019215,0.43737487069744047,0.47446184694789995,0.45906484713474827
-1.0,0.45599507296281433,0.42206272980048776,0.47135157485732276,0.4566017301236947
0.0,0.45033033857415194,0.4182265806336938,0.4709620962278091,0.44180589867092046
1.0,0.4455126748634829,0.43023225654288794,0.4671702596995739,0.4496381313883762
2.0,0.4463594481319668,0.42987921229732834,0.4695131171781801,0.44571579133729466
3.0,0.45221600613613544,0.4341256803024615,0.4681996729445962,0.45112037311926656
4.0,0.45590344539209837,0.43508420375449736,0.4711736570311373,0.459957252299652
5.0,0.451555289209436,0.4432193255254758,0.4741830638750229,0.45601862457452047
6.0,0.4511802953661823,0.43704296230339373,0.4643141217178669,0.45018789566913914
7.0,0.4458433967300309,0.43736782490721116,0.4572450516810398,0.4430692958737139
8.0,0.44834852354458965,0.42798409437600293,0.467061980129953,0.44785856460907325
