age_yrBP,pre,ecc,ecc_safe,pre_envelope_proxy,pre_phase_like_raw,pre_phase_like,pre_phase_like_z,pre_z,pre_deamp_unit
0.0,0.01628,0.016702,0.016702,0.6044878754976476,0.026931888396599206,0.029021379103450644,1.38412630546987,0.7763204316099489,0.9747335648425337
100.0,0.016431,0.01675,0.01675,0.6062251176257691,0.027103792835820893,0.02920662062186005,1.3929862063620502,0.7835425978187275,0.980955223880597
200.0,0.016568,0.016797,0.016797,0.6079261672095548,0.027253309519557064,0.02936773744727902,1.4006922493567957,0.790095159213447,0.9863666130856701
300.0,0.01669,0.016845,0.016845,0.6096634093376765,0.027375761353517367,0.029499689616504683,1.4070033784810116,0.7959302868788177,0.9907984565152865
400.0,0.016798,0.016892,0.016892,0.6113644589214623,0.027476245560028416,0.02960796981610015,1.4121823029750393,0.8010958097301295,0.9944352356144921
500.0,0.016891,0.01694,0.01694,0.6131017010495838,0.027550078512396693,0.029687531043647693,1.415987630187773,0.8055438988520923,0.9971074380165289
600.0,0.016968,0.016986,0.016986,0.6147665580890337,0.02760072059342988,0.0297421021532041,1.4185977071640237,0.8092267253294165,0.9989403037795831
700.0,0.017029,0.017032,0.017032,0.6164314151284835,0.02762513327853452,0.029768408878485364,1.4198559292990565,0.8121442891621018,0.9998238609675905
800.0,0.017075,0.017076,0.017076,0.6180238870792617,0.0276283819395643,0.029771909584486195,1.4200233642698252,0.8143444192654383,0.9999414382759428
900.0,0.017104,0.01712,0.01712,0.6196163590300399,0.02760417757009346,0.029745827336853613,1.4187758786572355,0.8157314578088461,0.9990654205607478
1000.0,0.017116,0.017161,0.017161,0.6211002533478104,0.027557547928442398,0.02969557996883079,1.4163726015485303,0.8163054047923252,0.9973777751879261
1100.0,0.017109,0.0172,0.0172,0.6225117625769092,0.02748381802325581,0.029616129783304565,1.4125725853552278,0.8159706023852957,0.9947093023255813
1200.0,0.017085,0.017236,0.017236,0.6238146941730004,0.02738794093757252,0.02951281414460987,1.407631110423975,0.8148227084183376,0.9912392666511951
1300.0,0.017045,0.017272,0.017272,0.6251176257690916,0.02726686834182492,0.029382348220776858,1.401391066804744,0.8129095518067407,0.9868573413617416
1400.0,0.016988,0.017306,0.017306,0.6263481722765111,0.027122295157748756,0.029226558432794626,1.3939398102323066,0.810183303635215,0.9816248699872877
