lag_kyr,rho_median_smooth,rho_lo5_smooth,rho_hi95_smooth,rho_mean_raw
-8.0,0.497741023776149,0.44141275604026237,0.5246382751099542,0.5000079985293822
-7.0,0.48224900191138653,0.42941113552962595,0.5037903216729955,0.46747240407013957
-6.0,0.46800702136313777,0.43953900476486807,0.48956427826424787,0.46441762088228167
-5.0,0.45440896009412746,0.43650177061916207,0.47717062642874775,0.4666668480384496
-4.0,0.44066929560484314,0.4196673972473561,0.46089298477325136,0.43620253503258966
-3.0,0.4213444985782917,0.40630441425288355,0.43033586143637703,0.41709016689017303
-2.0,0.403167433785494,0.3875492087042793,0.42606028315536204,0.40789430632056556
-1.0,0.3887706608185849,0.36420378479888393,0.4130256843183062,0.38356843869610796
0.0,0.37499395748750985,0.35215161478018425,0.41075679849004415,0.3706681953943108
1.0,0.37652114795998987,0.3441338872514594,0.39669106385770586,0.37156894312770655
2.0,0.3864752405989579,0.34724906509132636,0.4129326402890822,0.3853222056175453
3.0,0.40364535100821813,0.36770420332193837,0.4315360353188834,0.4000433568327598
4.0,0.4099422622763717,0.3905458156752999,0.45038981800005423,0.4144415824676678
5.0,0.4224587633945204,0.3994784482538196,0.45160914670287544,0.4363888555731398
6.0,0.42215494213955557,0.3971909871480039,0.45247367610370953,0.43067138424524076
7.0,0.4201657102219907,0.38949486791973903,0.4426681983309353,0.410374705789906
8.0,0.41521110641798414,0.38058093396814624,0.4414916953182828,0.4095508228026875
