lag_kyr,rho_median_smooth,rho_lo5_smooth,rho_hi95_smooth,rho_mean_raw
-8.0,-0.0936325572478551,-0.12768427233954494,-0.057326686519732176,-0.09276224936892194
-7.0,-0.0896227270128216,-0.12084422880558718,-0.059433914502157736,-0.08958720767007781
-6.0,-0.08558092595984108,-0.11049276462052408,-0.05252221614277612,-0.07891908457620372
-5.0,-0.08104237217925175,-0.10618037304208226,-0.05797808363657939,-0.07962353981484141
-4.0,-0.08925890903166611,-0.11493680136263645,-0.06166055134828161,-0.08645786289595685
-3.0,-0.09944741395147977,-0.1220192019093555,-0.07426709731392699,-0.09770571971029836
-2.0,-0.10883389916164915,-0.13143841906549156,-0.07415210890973996,-0.11000716131101282
-1.0,-0.1111872211170777,-0.13413664620668989,-0.08765128107884272,-0.11051118364140873
0.0,-0.10919763772863347,-0.14203173447827133,-0.10065267264695245,-0.11721340992181647
1.0,-0.11120419341346785,-0.13940018952917288,-0.09507895887477011,-0.11706878551643203
2.0,-0.10403168520212216,-0.12274648047971257,-0.09144419892239472,-0.10327989227024378
3.0,-0.09761647123017742,-0.11447868781335635,-0.0782250793853874,-0.10264346049795017
4.0,-0.08325065279854504,-0.10352766441876772,-0.06470438560305558,-0.0792489364158147
5.0,-0.07705579276938775,-0.10356085372719742,-0.0567262478827317,-0.07961170178090246
6.0,-0.06647268711886103,-0.09768310051596578,-0.049662741077456565,-0.06540218070111177
7.0,-0.05901728712138575,-0.08239666233158906,-0.03953641699337653,-0.0628363660937075
8.0,-0.055890116934882064,-0.08716689384092074,-0.018982497147381466,-0.04970784655856599
