LibSize,rho_obs,rho_null_median,rho_null_lo95,rho_null_hi95
61,0.2643521040923224,-0.006761842566419377,-0.0826469104753107,0.057908545615524096
159,0.29830306863209555,-0.009400111595828754,-0.07950082395372497,0.07151634782131124
257,0.4350252219920287,-0.0035332920290067752,-0.08479673527302364,0.09263414374541012
355,0.3743342445920913,-0.013780988623214608,-0.08904714396835707,0.10061928521268684
453,0.4052255630191999,-0.006424327998393334,-0.11515022497543755,0.09258624842134615
551,0.4696599637613297,-0.009083338696107918,-0.10031045866701632,0.09598980935782947
