lag_kyr,rho_median_smooth,rho_lo5_smooth,rho_hi95_smooth,rho_mean_raw
-8.0,0.48186071152579124,0.448170704135697,0.49905415038389295,0.48318237795005814
-7.0,0.4684075267367266,0.4515333371384153,0.49081212457086676,0.46463681398777873
-6.0,0.4613941580193902,0.4438197230625427,0.47324209131913153,0.4640243991584687
-5.0,0.4434426526502454,0.433510952247729,0.4647862439673763,0.4428132516107193
-4.0,0.4405754782651313,0.4292345401442328,0.4556530695681394,0.43470608198404576
-3.0,0.4413052452188787,0.4280736112279666,0.4514610081352664,0.44407542442174613
-2.0,0.4377878105922194,0.4155992102985406,0.45121469299771794,0.43742005160389263
-1.0,0.43434095101907244,0.4060031461893449,0.4458229598255447,0.4296216831930587
0.0,0.4333242320429276,0.4043202571042729,0.4403744180094531,0.4243120315826038
1.0,0.4300459867003661,0.40227075292004516,0.4435845811470451,0.4242086098674066
2.0,0.43139209593040806,0.40806616660685974,0.4490783363256026,0.4326300641031812
3.0,0.43680930661489337,0.4181821535917332,0.4561845316475665,0.4366297928380143
4.0,0.4405173039570138,0.41662696794721044,0.46932344724842817,0.4480103249016241
5.0,0.4421538450383855,0.41945020768192615,0.46453501596403407,0.437905295098555
6.0,0.44337979802937866,0.424836066353269,0.45851325183567676,0.44198293842380476
7.0,0.44313522423981644,0.4273175909741268,0.4645015009786503,0.4430108106907101
8.0,0.44626358752835915,0.4204838892882314,0.4722446652359795,0.4469311155971984
