frequency_cpy,period_kyr,power
0.0005,2.0,75.43529454089071
0.00049609375,2.015748031496063,54.927905414345254
0.0004921875,2.0317460317460316,32.16930106152337
0.00048828125,2.048,37.06460671049246
0.000484375,2.064516129032258,36.196080225774125
0.00048046875,2.0813008130081303,14.503952495593747
0.0004765625,2.0983606557377046,67.16843777671096
0.00047265625,2.115702479338843,52.09689446286325
0.00046875,2.1333333333333333,28.464048054092636
0.00046484375000000003,2.15126050420168,32.99863742523756
0.00046093750000000003,2.1694915254237284,25.051644725423998
0.00045703125,2.188034188034188,24.363313555179502
0.000453125,2.206896551724138,16.173127727813146
0.00044921875,2.226086956521739,31.982726016296418
0.0004453125,2.245614035087719,62.586971033959585
0.00044140625,2.265486725663717,73.57841049765307
0.0004375,2.2857142857142856,33.174562874770345
0.00043359375,2.3063063063063063,66.86057750981658
0.0004296875,2.3272727272727276,94.99385245863866
0.00042578125,2.3486238532110093,96.06797908211077
0.000421875,2.3703703703703702,62.23615016261556
0.00041796875,2.392523364485981,44.652445590099795
0.0004140625,2.415094339622642,35.94882015082667
0.00041015625,2.438095238095238,26.532639445004058
0.00040625000000000004,2.4615384615384612,14.619939545236008
0.00040234375000000003,2.4854368932038833,19.119433346435272
0.00039843750000000003,2.509803921568627,21.571221729513034
0.00039453125,2.5346534653465347,27.77602073838318
0.000390625,2.56,28.2220643158689
0.00038671875,2.5858585858585856,81.37527383588522
0.0003828125,2.6122448979591835,97.38026046098261
0.00037890625,2.6391752577319583,53.32254817881376
0.000375,2.6666666666666665,38.376663818905556
0.00037109375,2.6947368421052635,37.79774930055316
0.0003671875,2.723404255319149,20.46450301718137
0.00036328125,2.7526881720430105,36.241433801459124
0.000359375,2.782608695652174,84.96529753272854
0.00035546875,2.8131868131868134,61.61366085587643
0.0003515625,2.8444444444444446,40.783579890555465
0.00034765625,2.876404494382023,107.03271342358633
0.00034375,2.9090909090909096,79.80874928056002
0.00033984375000000003,2.942528735632184,77.55450956060733
0.00033593750000000003,2.9767441860465116,64.85715028871913
0.00033203125,3.011764705882353,55.15476739661275
0.000328125,3.0476190476190474,87.65063370298326
0.00032421875,3.08433734939759,49.17601733530388
0.0003203125,3.1219512195121952,14.771446877733942
0.00031640625,3.1604938271604937,38.076388521388466
0.0003125,3.2,23.427371333932108
0.00030859375,3.240506329113924,18.333427575227994
0.0003046875,3.2820512820512824,26.236620270011013
0.00030078125,3.3246753246753245,99.86370943997979
0.000296875,3.368421052631579,62.76840843897527
0.00029296875,3.4133333333333336,52.84139390566596
0.0002890625,3.4594594594594597,46.35178621823521
0.00028515625,3.5068493150684934,49.8010238016969
0.00028125000000000003,3.5555555555555554,51.65849175292641
0.00027734375000000003,3.605633802816901,81.23491770734218
0.0002734375,3.657142857142857,108.79587543627608
0.00026953125,3.7101449275362315,77.55797257129916
0.000265625,3.764705882352941,73.31668404485995
0.00026171875,3.820895522388059,26.685265150908567
0.0002578125,3.8787878787878785,25.405797371860483
0.00025390625,3.9384615384615382,48.517204878765625
0.00025,4.0,47.68420712394209
0.00024609375,4.063492063492063,143.53224071282483
0.0002421875,4.129032258064516,119.74712100450347
0.00023828125,4.196721311475409,50.78152814049075
0.000234375,4.266666666666667,94.1105115177844
0.00023046875000000001,4.338983050847457,180.2671825278679
0.0002265625,4.413793103448276,156.86213303105944
0.00022265625,4.491228070175438,107.37262366768373
0.00021875,4.571428571428571,96.30377635931183
0.00021484375,4.654545454545455,95.2781633833909
0.0002109375,4.7407407407407405,110.96397920016443
0.00020703125,4.830188679245284,79.16047206790279
0.00020312500000000002,4.9230769230769225,60.24742210920071
0.00019921875000000001,5.019607843137254,42.72778607617396
