frequency_cpy,period_kyr,cross_power_abs,cross_power_real,cross_power_imag
0.0005,2.0,2.50207844650881,2.50207844650881,0.0
0.00049609375,2.015748031496063,3.8025209578312658,3.354810525824358,-1.790087140494591
0.0004921875,2.0317460317460316,3.616155138068563,3.0090049264668686,-2.005608968637152
0.00048828125,2.048,4.795162818536557,2.6605055639909887,-3.989398024796279
0.000484375,2.064516129032258,3.786657199588472,2.23635268698916,-3.0557322210219224
0.00048046875,2.0813008130081303,4.463697239497995,3.6777375323266743,-2.529592791185516
0.0004765625,2.0983606557377046,4.271935890294466,2.6205885799360127,-3.37371482871551
0.00047265625,2.115702479338843,3.1549805940734235,1.7909702838880572,-2.597369436797512
0.00046875,2.1333333333333333,3.8742086462814265,1.7630117503159388,-3.449823503191097
0.00046484375000000003,2.15126050420168,3.450412245468587,0.3450650373728691,-3.4331144437176038
0.00046093750000000003,2.1694915254237284,2.2607218593778975,-0.4254502559717356,-2.220327769758925
0.00045703125,2.188034188034188,2.040543127895464,-1.8378846791537182,-0.886564246365393
0.000453125,2.206896551724138,2.60912315995395,-2.6029165929973703,-0.17985792645042556
0.00044921875,2.226086956521739,3.156084598549726,-2.8559870561840306,-1.3432080732753433
0.0004453125,2.245614035087719,3.9799208628258445,-3.839018017985688,-1.049624090776148
0.00044140625,2.265486725663717,3.8232771677384414,-3.7652017847606722,0.6638552714147308
0.0004375,2.2857142857142856,3.901723804710175,-3.5365168554032307,1.64817995974071
0.00043359375,2.3063063063063063,3.5227514563624176,-2.5885189082346183,2.389424132508792
0.0004296875,2.3272727272727276,2.588821302927025,-1.2549858025038028,2.2642893750584676
0.00042578125,2.3486238532110093,2.605448905821706,-1.0099509580436548,2.4017416728687184
0.000421875,2.3703703703703702,3.217603016168791,-0.7469996241820718,3.1296901973087277
0.00041796875,2.392523364485981,3.7384074511225003,1.1617217513002365,3.553321381913567
0.0004140625,2.415094339622642,3.897469256481792,2.898433343215697,2.605638263488663
0.00041015625,2.438095238095238,4.529262496080413,3.475276926923625,2.9045944707640103
0.00040625000000000004,2.4615384615384612,5.113058091462998,3.7537435172333984,3.4717103354835737
0.00040234375000000003,2.4854368932038833,4.737741058315024,3.2086815250129623,3.4857643647677117
0.00039843750000000003,2.509803921568627,5.086429034873293,4.4122819255940655,2.530519420174044
0.00039453125,2.5346534653465347,5.27726140272472,5.258492409572578,0.44468583421969493
0.000390625,2.56,5.501763320574145,5.499596473470303,0.15439645270553443
0.00038671875,2.5858585858585856,5.453645831241569,5.449520301047067,0.21208805033388667
0.0003828125,2.6122448979591835,4.203555375705515,4.188607062727007,-0.35418733841876726
0.00037890625,2.6391752577319583,4.181007213794731,3.7922537602693067,-1.760577388110755
0.000375,2.6666666666666665,5.835327637427239,3.4500905504694597,-4.7061580752970364
0.00037109375,2.6947368421052635,5.658457822168364,2.1885547343040304,-5.218081361977193
0.0003671875,2.723404255319149,4.439421917282441,2.946720199452109,-3.3204377762259947
0.00036328125,2.7526881720430105,4.207151592859274,2.9126745528992313,-3.035860911535901
0.000359375,2.782608695652174,3.0130599624681005,1.3295965961149094,-2.703831213117401
0.00035546875,2.8131868131868134,4.915153731207083,1.6845743988855508,-4.617460914400716
0.0003515625,2.8444444444444446,5.849179789388486,-1.2444413541732309,-5.715266391395437
0.00034765625,2.876404494382023,2.792044800766788,-2.2321010049319074,-1.67727137734799
0.00034375,2.9090909090909096,3.115229110138053,-2.8919019915674973,1.1582552740305005
0.00033984375000000003,2.942528735632184,4.328471905193131,-3.214177185078176,2.89909193661898
