proxy,proxy_label,age_min_kyrBP,age_max_kyrBP,n_rows_after_dropna,lag_library_requested,lag_library_effective,lag_library_min_rows_across_lags,nan_rows_removed_from_metric
ch4,CH$_4$,11.0,789.0,779,300,300,765,0
monsoon,Monsoon d$^{18}$O,11.0,631.0,619,300,300,605,2
