age_yrBP,filtered_value,mcv_state,segment_id,is_transition_age
11750,-146.9344323341117,0,0,0
11800,-144.49733869935469,0,0,0
11850,-145.93253093960806,0,0,0
11900,-154.69029768082385,0,0,0
11950,-138.72093468005158,0,0,0
12000,-152.3247445979685,0,0,0
12050,-142.85203678783702,0,0,0
12100,-147.15312710130883,0,0,0
12150,-139.8783377115471,0,0,0
12200,-148.4779969540749,0,0,0
12250,-147.4524391853044,0,0,0
12300,-151.2020046586738,0,0,0
12350,-135.17703941828526,0,0,0
12400,-140.6778952097343,0,0,0
12450,-141.30492940782506,0,0,0
12500,-144.2085049604133,0,0,0
12550,-148.68899034767102,0,0,0
12600,-138.8467595560088,0,0,0
12650,-106.48219206565253,0,0,0
12700,-90.04567285077428,0,0,0
12750,-56.48759239092071,0,0,0
12800,10.791653307732247,1,1,1
12850,45.5416626826223,1,1,0
12900,78.16202857810813,1,1,0
12950,84.75233820363599,1,1,0
13000,57.21217308820346,1,1,0
13050,46.34110903286742,1,1,0
13100,10.138716062626273,1,1,0
13150,28.854558379124228,1,1,0
13200,63.43819431568508,1,1,0
13250,86.93917629579335,1,1,0
13300,99.9570507963754,1,1,0
13350,98.19135831729295,1,1,0
13400,104.74163335818017,1,1,0
13450,100.20740440381743,1,1,0
13500,107.93819391908579,1,1,0
13550,63.43351835444035,1,1,0
13600,87.74288816265278,1,1,0
13650,97.21580782782046,1,1,0
13700,104.0517759072276,1,1,0
13750,110.70028508642952,1,1,0
13800,90.91082224835,1,1,0
13850,101.98286855677395,1,1,0
13900,88.06589955444349,1,1,0
13950,38.90938527612483,1,1,0
14000,27.362790376882366,1,1,0
14050,87.32557427543045,1,1,0
14100,88.04719131253137,1,1,0
14150,70.02709092451516,1,1,0
14200,86.2147178318145,1,1,0
14250,73.20951224207637,1,1,0
14300,75.01091006772158,1,1,0
14350,90.3683431577766,1,1,0
14400,98.43123954351846,1,1,0
14450,88.94902369717937,1,1,0
14500,74.12111680330014,1,1,0
14550,53.24693704224553,1,1,0
14600,-12.52410011490801,0,2,1
14650,-30.99258160119868,0,2,0
14700,-37.50909643904589,0,2,0
14750,-30.624235416762247,0,2,0
14800,-31.88859075725526,0,2,0
14850,-33.00275577992187,0,2,0
14900,-40.41732455661645,0,2,0
14950,-30.232891562478045,0,2,0
15000,-38.20005132237692,0,2,0
15050,-42.16939805373575,0,2,0
15100,-37.141525306498586,0,2,0
15150,-29.517025600859583,0,2,0
15200,-33.39649006364924,0,2,0
15250,-22.580508063953772,0,2,0
15300,-23.769666848414417,0,2,0
15350,-14.814551176862587,0,2,0
15400,-19.51574295878694,0,2,0
15450,-22.9238208911654,0,2,0
15500,-29.039360098300307,0,2,0
15550,-27.162931773923802,0,2,0
15600,-26.99510282611123,0,2,0
15650,-30.686435525439556,0,2,0
15700,-25.03748715685805,0,2,0
15750,-16.198809675477253,0,2,0
15800,-16.17094936675897,0,2,0
15850,-20.25444651150256,0,2,0
15900,-20.499835055842265,0,2,0
15950,-13.607642286506819,0,2,0
16000,-1.1283885115629353,1,3,1
16050,12.437413252983667,1,3,0
16100,17.889257590505522,1,3,0
16150,-15.37335301510608,0,4,1
16200,-18.000907884956042,0,4,0
16250,-6.693887857432761,0,4,0
16300,-6.952765007382913,0,4,0
16350,-7.8280023725086,0,4,0
16400,-13.620053687209369,0,4,0
16450,-13.279363124089114,0,4,0
16500,-13.056365043262073,0,4,0
16550,-8.551483749697944,0,4,0
16600,-7.115133258795044,0,4,0
16650,-1.4477170703787934,0,4,0
16700,-6.249627951293412,0,4,0
16750,-14.471247726654306,0,4,0
16800,-8.262947079960231,0,4,0
16850,-3.0250853621603575,0,4,0
16900,-4.458010409880039,0,4,0
16950,-2.662058373014755,0,4,0
17000,-6.337553551630791,0,4,0
17050,-9.234808242319932,0,4,0
17100,-0.5541225942588106,0,4,0
17150,-14.545784474888233,0,4,0
17200,-7.460069345449824,0,4,0
17250,-5.347240146424944,0,4,0
17300,-4.8575471929894185,0,4,0
17350,-5.991228080540456,0,4,0
17400,-11.548507600401788,0,4,0
17450,-11.72959766573943,0,4,0
17500,-9.434697247751195,0,4,0
17550,-13.113992322229736,0,4,0
