transition_age_yrBP
12800
14600
16000
16150
18850
24050
25250
25550
27350
27800
28450
29250
30600
30800
31850
32650
33500
33900
34850
35650
36800
38450
40200
40350
41150
41650
42550
43600
44600
44800
44900
47100
49400
49500
50950
54200
54300
54500
55750
56100
56950
58350
58450
58600
58850
59400
59550
59800
63800
66100
66300
69350
69800
70500
70850
72150
73400
75850
77500
77650
80900
84800
88650
92400
97250
103100
105450
108350
110400
113450
116650
