age_yrBP,filtered_value,mcv_state,segment_id,is_transition_age
1000,12.183922122633085,1,0,0
1050,13.849684842162315,1,0,0
1100,9.94335783858433,1,0,0
1150,-9.24663377270263,1,0,0
1200,16.521881348400377,1,0,0
1250,7.480393135556302,1,0,0
1300,-3.219971188152641,1,0,0
1350,27.615926902614728,1,0,0
1400,22.693192079848355,1,0,0
1450,10.034814055639409,1,0,0
1500,3.562688909743379,1,0,0
1550,7.308108818421086,1,0,0
1600,15.66116311180101,1,0,0
1650,14.502161601048499,1,0,0
1700,20.27232618036474,1,0,0
1750,11.825015579006887,1,0,0
1800,16.30617812832555,1,0,0
1850,22.3921285196157,1,0,0
1900,-2.291337653482813,1,0,0
1950,12.054098449077113,1,0,0
2000,0.8687577379460798,1,0,0
2050,-0.2081881853735581,1,0,0
2100,-5.488016383342671,1,0,0
2150,-2.119437068853344,1,0,0
2200,14.193119028681252,1,0,0
2250,-6.824169909859952,1,0,0
2300,0.4899055710744653,1,0,0
2350,6.429151416905978,1,0,0
2400,-6.314389447426668,0,1,1
2450,-8.20218183589805,0,1,0
2500,-16.692468822821215,0,1,0
2550,-16.549400333071922,0,1,0
2600,-4.728040842628745,0,1,0
2650,-7.929320979405826,0,1,0
2700,-10.444118398543116,0,1,0
2750,-5.300637236155866,0,1,0
2800,-4.287777494303668,0,1,0
2850,-17.28677319757554,0,1,0
2900,-11.226122979942765,0,1,0
2950,-4.758733677564738,0,1,0
3000,-16.891169173157692,0,1,0
3050,-16.133728301657918,0,1,0
3100,-7.236755988148415,0,1,0
3150,-6.054028316916117,0,1,0
3200,-10.494216495492225,0,1,0
3250,-13.964039983044374,0,1,0
3300,-1.2182009886928427,0,1,0
3350,-10.556344562346638,0,1,0
3400,-18.112125428978132,0,1,0
3450,-15.385207027802574,0,1,0
3500,-13.061479982381263,0,1,0
3550,-19.359320363488273,0,1,0
3600,-13.650929635940413,0,1,0
3650,1.2437300892496133,0,1,0
3700,-13.430419484486078,0,1,0
3750,-5.508462044757486,0,1,0
3800,5.929544257918906,1,2,1
3850,13.77198384411205,1,2,0
3900,5.951615338998042,1,2,0
3950,-0.9093363829321319,1,2,0
4000,-12.23036480426778,0,3,1
4050,-13.864264112589069,0,3,0
4100,-19.95691318283344,0,3,0
4150,-20.42118954029404,0,3,0
4200,-15.624543732013093,0,3,0
4250,-5.365586016816948,0,3,0
4300,-13.197233967669632,0,3,0
4350,-7.805891674051857,0,3,0
4400,-2.855772059788322,0,3,0
4450,-19.27393483082831,0,3,0
4500,-10.889421187392038,0,3,0
4550,-11.79587290481588,0,3,0
4600,-15.726390878122302,0,3,0
4650,-13.566221210269575,0,3,0
4700,-33.26047990359503,0,3,0
4750,-22.956738430365974,0,3,0
4800,-21.961040078481197,0,3,0
4850,-16.336753830074933,0,3,0
4900,-18.06538168694697,0,3,0
4950,-4.260407622979347,0,3,0
5000,-18.767054495428845,0,3,0
5050,-23.671147695371577,0,3,0
5100,-19.616210606619283,0,3,0
