transition_age_yrBP
2400
3800
4000
6900
7300
7850
8100
8200
8400
8500
11550
12800
14600
16000
16150
18850
21750
22300
24050
25250
25350
27400
27800
28450
29150
30650
30750
32000
32650
33500
33900
34850
35650
36800
38450
40200
40350
41150
41650
42550
43600
44600
44800
44900
47100
49400
49500
50950
54200
54300
54500
55750
56100
56950
58350
58450
58600
58850
59400
59550
59800
63300
64500
65050
66100
66300
66950
68750
69350
69800
70150
70850
72150
73450
75850
77500
77650
78100
78500
80950
81400
82150
84800
88650
92400
97250
103100
105450
108350
110450
113400
116700
117000
117850
120700
121700
123050
126350
127250
127500
129650
133350
135800
136800
137400
137950
139600
140000
140700
143650
144200
144450
145550
147950
150800
152000
155250
156800
157350
157900
158500
158850
163100
163350
164800
167700
169800
170400
170800
172050
173900
177800
180400
184250
187300
189600
190150
191850
195150
198650
201700
202850
203650
205600
206150
206500
209400
211400
211800
212350
217050
220100
220500
220800
224900
226700
228550
229400
230100
230900
231850
234350
234700
235750
236100
236550
237050
237350
238600
238750
239300
239600
239700
240700
243000
247300
249850
251600
252800
254850
255900
256700
256950
257550
258950
259350
260700
264100
265850
269300
273100
275700
276350
277100
277500
278000
279300
279600
280350
281800
284050
284950
285900
287750
291450
294450
295100
295500
297350
299300
301400
304100
306100
307100
309650
314100
314500
314800
317100
321050
323250
324250
327450
328100
328750
329000
330250
333100
334550
335250
335600
340150
343750
348850
349500
350150
351400
351750
352250
356750
360550
361000
361400
362100
362400
363100
363750
365200
367350
368050
368350
368900
369700
370950
371650
373800
377200
382650
383150
383350
385800
387300
387550
387800
390000
391950
393800
396000
399150
399700
400200
400650
400900
402800
403800
404350
404900
405600
407100
408100
408750
409400
410300
411100
411700
412200
413150
413650
414750
415500
417050
419100
419400
420550
420650
420850
421050
421900
422150
422250
426900
430150
431450
432500
443150
444750
446150
447200
448100
449500
451700
457050
459950
465100
467750
470050
471650
473450
475600
478600
481600
482050
483100
489750
492050
492800
493700
497250
501150
505550
506600
507700
511450
516000
518400
519250
521450
523100
526150
529550
533450
538500
543050
545950
549700
551300
554400
556700
559550
561700
563400
566150
570600
573250
576600
579550
581850
585100
589000
590050
591850
593900
597150
600550
606000
610750
616350
617550
621050
625250
628900
629550
629850
632950
641750
644950
649750
655050
657900
660900
663150
664500
667500
672600
674200
676450
677000
677600
680800
683050
685250
686800
689700
691300
692150
693150
696600
698000
698650
700900
703850
706950
707150
707700
710750
712400
712650
713000
716450
719550
722150
722700
723200
724650
725300
725850
727200
731800
734450
737200
738450
739300
746200
748550
749250
750600
752850
753300
755050
757450
758150
759300
761300
765600
768850
772200
775550
779750
782850
789150
792150
795600
798800
