age_yrBP,filtered_value,mcv_state,segment_id,is_transition_age
11750,0.766175086052735,1,0,0
11800,0.7722349564420394,1,0,0
11850,1.2590552095581153,1,0,0
11900,0.6153553780739955,1,0,0
11950,0.8451744747672841,1,0,0
12000,1.0518047994507222,1,0,0
12050,1.3161351657294738,1,0,0
12100,0.9081175235102464,1,0,0
12150,0.6778557432204246,1,0,0
12200,1.0276592263835318,1,0,0
12250,0.8969021998641638,1,0,0
12300,1.2548459228459152,1,0,0
12350,1.2178247996956413,1,0,0
12400,0.8438885893041863,1,0,0
12450,0.8796611668325772,1,0,0
12500,0.47662140010529797,1,0,0
12550,0.6167495921759711,1,0,0
12600,0.36653274753548737,1,0,0
12650,0.5675068339778605,1,0,0
12700,0.26197877185074747,1,0,0
12750,0.10075916650606564,1,0,0
12800,-0.5930136555300107,0,1,1
12850,-0.4783475546433611,0,1,0
12900,-0.5396510638943757,0,1,0
12950,-1.316093378473437,0,1,0
13000,-0.22370141306246338,0,1,0
13050,-0.7135891296540193,0,1,0
13100,-0.915001017151867,0,1,0
13150,-0.7219316579691148,0,1,0
13200,-0.26957572946061037,0,1,0
13250,-0.6548280054155375,0,1,0
13300,-1.080227802062059,0,1,0
13350,-0.5209167574794604,0,1,0
13400,-1.4728366110937061,0,1,0
13450,-1.310098094373258,0,1,0
13500,-0.5892964882834206,0,1,0
13550,-1.8283227363943093,0,1,0
13600,-1.0338056692004467,0,1,0
13650,-1.903971091290076,0,1,0
13700,-1.4605108032584297,0,1,0
13750,-1.8089045649025892,0,1,0
13800,-1.1159514702857007,0,1,0
13850,-1.028204505624495,0,1,0
13900,-0.4569624815285917,0,1,0
13950,-0.099279117930137,0,1,0
14000,-0.6308028537394,0,1,0
14050,-0.9200947242118542,0,1,0
14100,-1.2078268403932475,0,1,0
14150,-0.5277182896608748,0,1,0
14200,-0.7024745650131059,0,1,0
14250,-1.209534235270421,0,1,0
14300,-0.9406362848817558,0,1,0
14350,-1.3941760423419323,0,1,0
14400,-0.6537827747907753,0,1,0
14450,-1.0031802976863993,0,1,0
14500,-0.23595225173451662,0,1,0
14550,0.002588145994486535,0,1,0
14600,-0.7033514809348764,0,1,0
14650,0.2281509171242171,1,2,1
14700,0.8678004403341919,1,2,0
14750,0.8769798597119849,1,2,0
14800,0.6480120276875447,1,2,0
14850,1.4241233238872906,1,2,0
14900,0.5570044005042387,1,2,0
14950,0.612543702256632,1,2,0
15000,0.8573295639456271,1,2,0
15050,0.9450394391654859,1,2,0
15100,1.2811984070551325,1,2,0
15150,0.6807185162974233,1,2,0
15200,0.9127017720679522,1,2,0
15250,1.2461319799874377,1,2,0
15300,1.0383605436936905,1,2,0
15350,0.7796241661730882,1,2,0
15400,1.1049331637543909,1,2,0
15450,1.3231488738975004,1,2,0
15500,0.41711816053607975,1,2,0
15550,1.7720243417417445,1,2,0
15600,0.5166436386008129,1,2,0
