dt_yr,amp_sigma,min_persistence_yr,tol_yr,n_detected,n_ref,n_matched,recall,precision,f1,median_abs_age_error_yr,mean_abs_age_error_yr,addition_ratio_vs_ref
50,0.0,0.0,100,304,68,30,0.4411764705882353,0.09868421052631579,0.16129032258064513,49.0,49.666666666666664,3.4705882352941178
50,0.0,0.0,200,304,68,41,0.6029411764705882,0.13486842105263158,0.22043010752688175,80.0,80.07317073170732,3.4705882352941178
50,0.0,0.0,300,304,68,54,0.7941176470588235,0.17763157894736842,0.29032258064516125,100.0,122.74074074074075,3.4705882352941178
50,0.0,80.0,100,144,68,22,0.3235294117647059,0.1527777777777778,0.20754716981132076,59.0,57.86363636363637,1.1176470588235294
50,0.0,80.0,200,144,68,30,0.4411764705882353,0.20833333333333334,0.2830188679245283,80.0,82.53333333333333,1.1176470588235294
50,0.0,80.0,300,144,68,41,0.6029411764705882,0.2847222222222222,0.38679245283018865,110.0,136.78048780487805,1.1176470588235294
50,0.0,90.0,100,144,68,22,0.3235294117647059,0.1527777777777778,0.20754716981132076,59.0,57.86363636363637,1.1176470588235294
50,0.0,90.0,200,144,68,30,0.4411764705882353,0.20833333333333334,0.2830188679245283,80.0,82.53333333333333,1.1176470588235294
50,0.0,90.0,300,144,68,41,0.6029411764705882,0.2847222222222222,0.38679245283018865,110.0,136.78048780487805,1.1176470588235294
50,0.0,100.0,100,144,68,22,0.3235294117647059,0.1527777777777778,0.20754716981132076,59.0,57.86363636363637,1.1176470588235294
50,0.0,100.0,200,144,68,30,0.4411764705882353,0.20833333333333334,0.2830188679245283,80.0,82.53333333333333,1.1176470588235294
50,0.0,100.0,300,144,68,41,0.6029411764705882,0.2847222222222222,0.38679245283018865,110.0,136.78048780487805,1.1176470588235294
50,0.0,110.0,100,100,68,21,0.3088235294117647,0.21,0.25,49.0,54.904761904761905,0.47058823529411775
50,0.0,110.0,200,100,68,27,0.39705882352941174,0.27,0.32142857142857145,70.0,72.81481481481481,0.47058823529411775
50,0.0,110.0,300,100,68,36,0.5294117647058824,0.36,0.42857142857142855,94.0,113.52777777777777,0.47058823529411775
50,0.0,120.0,100,100,68,21,0.3088235294117647,0.21,0.25,49.0,54.904761904761905,0.47058823529411775
50,0.0,120.0,200,100,68,27,0.39705882352941174,0.27,0.32142857142857145,70.0,72.81481481481481,0.47058823529411775
50,0.0,120.0,300,100,68,36,0.5294117647058824,0.36,0.42857142857142855,94.0,113.52777777777777,0.47058823529411775
50,0.0,130.0,100,100,68,21,0.3088235294117647,0.21,0.25,49.0,54.904761904761905,0.47058823529411775
