detector,tol_yr,n_detected,n_matched,precision,recall,f1,median_abs_age_error_yr,mean_abs_age_error_yr
baseline_crossing,100,149,19,0.12751677852348994,0.27941176470588236,0.17511520737327188,40.0,44.1578947368421
baseline_crossing,200,149,36,0.24161073825503357,0.5294117647058824,0.33179723502304154,100.0,102.25
baseline_crossing,300,149,44,0.2953020134228188,0.6470588235294118,0.4055299539170507,144.5,134.0909090909091
selected_0.27_100yr,100,69,15,0.21739130434782608,0.22058823529411764,0.21897810218978103,40.0,45.333333333333336
selected_0.27_100yr,200,69,31,0.4492753623188406,0.45588235294117646,0.45255474452554745,109.0,104.54838709677419
selected_0.27_100yr,300,69,38,0.5507246376811594,0.5588235294117647,0.5547445255474452,144.5,134.47368421052633
