segment_idx,state,start_age_yrBP,end_age_yrBP,duration_yr,max_abs_amp
0,0,11750,12750,1050.0,151.1221558474364
1,1,12800,14550,1800.0,114.26842691981696
2,0,14600,15950,1400.0,38.601256220348304
3,1,16000,16100,150.0,21.457399423892966
4,0,16150,18800,2700.0,23.08057266381759
5,1,18850,24000,5200.0,38.83343861355603
6,0,24050,25200,1200.0,15.329608049996672
7,1,25250,25500,300.0,10.102843582519672
8,0,25550,27300,1800.0,18.921368159843798
9,1,27350,27750,450.0,65.27106778909067
10,0,27800,28400,650.0,18.7736915991874
11,1,28450,29200,800.0,97.48877536209969
12,0,29250,30550,1350.0,14.313572208666638
13,1,30600,30750,200.0,21.651929744454467
14,0,30800,31800,1050.0,21.706784332939527
15,1,31850,32600,800.0,72.16955024879829
16,0,32650,33450,850.0,38.91405436946261
17,1,33500,33850,400.0,61.61787966246157
18,0,33900,34800,950.0,44.203421309866954
19,1,34850,35600,800.0,70.94629301150552
20,0,35650,36750,1150.0,58.471989833603374
21,1,36800,38400,1650.0,107.22027833486239
22,0,38450,40150,1750.0,47.84800713557843
23,1,40200,40300,150.0,29.188893192343002
24,0,40350,41100,800.0,41.71781353841371
25,1,41150,41600,500.0,51.85460318145786
26,0,41650,42500,900.0,37.88114214763769
27,1,42550,43550,1050.0,62.325306618392254
28,0,43600,44550,1000.0,36.80277280509596
29,1,44600,44750,200.0,35.254862441794906
30,0,44800,44850,100.0,11.736749057484488
31,1,44900,47050,2200.0,76.95532277869003
32,0,47100,49350,2300.0,58.441030640422134
33,1,49400,49450,100.0,13.938845603050808
34,0,49500,50900,1450.0,48.062461993912144
35,1,50950,54150,3250.0,46.80964037340813
36,0,54200,54250,100.0,34.18339547022899
37,1,54300,54450,200.0,47.42333588391207
38,0,54500,55700,1250.0,82.76372134183663
39,1,55750,56050,350.0,49.921340120802256
40,0,56100,56900,850.0,63.135898275106555
41,1,56950,58300,1400.0,86.1179743072149
42,0,58350,58400,100.0,10.867545356438256
43,1,58450,58550,150.0,94.09045047004744
44,0,58600,58800,250.0,40.669347658775564
45,1,58850,59750,950.0,134.37842357752132
46,0,59800,63750,4000.0,46.97724478010173
47,1,63800,66050,2300.0,88.04852752946348
48,0,66100,66250,200.0,15.990902255206521
49,1,66300,69300,3050.0,17.95227640773782
50,0,69350,69750,450.0,10.62940171609877
51,1,69800,70450,700.0,10.636939842366786
52,0,70500,70800,350.0,10.519340156549077
53,1,70850,72100,1300.0,30.89366828852251
54,0,72150,73350,1250.0,18.298039691245076
55,1,73400,75800,2450.0,43.37932527017397
56,0,75850,77450,1650.0,23.803759865163
57,1,77500,77600,150.0,14.487453597016057
58,0,77650,80850,3250.0,26.874032336871647
59,1,80900,84750,3900.0,93.81126300937966
60,0,84800,88600,3850.0,59.764313502139636
61,1,88650,92350,3750.0,55.60404160331291
62,0,92400,97200,4850.0,24.958947610626694
63,1,97250,103050,5850.0,25.27893950669567
64,0,103100,105400,2350.0,66.4959961441964
65,1,105450,108300,2900.0,80.06821172208261
66,0,108350,110350,2050.0,79.08656853384609
67,1,110400,114500,4150.0,28.06229848841453
68,0,114550,116600,2100.0,15.40420244594393
69,1,116650,119100,2500.0,23.185513029601363
