dt_yr,amp_sigma,min_persistence_yr,tol_yr,n_detected,n_ref,n_matched,recall,precision,f1,median_abs_age_error_yr,mean_abs_age_error_yr
50,0.0,0.0,100,149,68,19,0.27941176470588236,0.12751677852348994,0.17511520737327188,40.0,44.1578947368421
50,0.0,0.0,200,149,68,36,0.5294117647058824,0.24161073825503357,0.33179723502304154,100.0,102.25
50,0.0,0.0,300,149,68,44,0.6470588235294118,0.2953020134228188,0.4055299539170507,144.5,134.0909090909091
50,0.0,80.0,100,107,68,17,0.25,0.1588785046728972,0.19428571428571426,40.0,45.1764705882353
50,0.0,80.0,200,107,68,33,0.4852941176470588,0.308411214953271,0.37714285714285717,101.0,102.39393939393939
50,0.0,80.0,300,107,68,40,0.5882352941176471,0.37383177570093457,0.45714285714285713,129.5,131.2
50,0.0,90.0,100,107,68,17,0.25,0.1588785046728972,0.19428571428571426,40.0,45.1764705882353
50,0.0,90.0,200,107,68,33,0.4852941176470588,0.308411214953271,0.37714285714285717,101.0,102.39393939393939
50,0.0,90.0,300,107,68,40,0.5882352941176471,0.37383177570093457,0.45714285714285713,129.5,131.2
50,0.0,100.0,100,107,68,17,0.25,0.1588785046728972,0.19428571428571426,40.0,45.1764705882353
50,0.0,100.0,200,107,68,33,0.4852941176470588,0.308411214953271,0.37714285714285717,101.0,102.39393939393939
50,0.0,100.0,300,107,68,40,0.5882352941176471,0.37383177570093457,0.45714285714285713,129.5,131.2
50,0.0,110.0,100,89,68,14,0.20588235294117646,0.15730337078651685,0.17834394904458598,40.0,47.07142857142857
50,0.0,110.0,200,89,68,27,0.39705882352941174,0.30337078651685395,0.3439490445859873,99.0,102.22222222222223
50,0.0,110.0,300,89,68,36,0.5294117647058824,0.4044943820224719,0.4585987261146497,150.5,142.77777777777777
50,0.0,120.0,100,89,68,14,0.20588235294117646,0.15730337078651685,0.17834394904458598,40.0,47.07142857142857
50,0.0,120.0,200,89,68,27,0.39705882352941174,0.30337078651685395,0.3439490445859873,99.0,102.22222222222223
50,0.0,120.0,300,89,68,36,0.5294117647058824,0.4044943820224719,0.4585987261146497,150.5,142.77777777777777
50,0.0,130.0,100,89,68,14,0.20588235294117646,0.15730337078651685,0.17834394904458598,40.0,47.07142857142857
50,0.0,130.0,200,89,68,27,0.39705882352941174,0.30337078651685395,0.3439490445859873,99.0,102.22222222222223
50,0.0,130.0,300,89,68,36,0.5294117647058824,0.4044943820224719,0.4585987261146497,150.5,142.77777777777777
50,0.0,140.0,100,89,68,14,0.20588235294117646,0.15730337078651685,0.17834394904458598,40.0,47.07142857142857
50,0.0,140.0,200,89,68,27,0.39705882352941174,0.30337078651685395,0.3439490445859873,99.0,102.22222222222223
50,0.0,140.0,300,89,68,36,0.5294117647058824,0.4044943820224719,0.4585987261146497,150.5,142.77777777777777
50,0.0,150.0,100,89,68,14,0.20588235294117646,0.15730337078651685,0.17834394904458598,40.0,47.07142857142857
50,0.0,150.0,200,89,68,27,0.39705882352941174,0.30337078651685395,0.3439490445859873,99.0,102.22222222222223
50,0.0,150.0,300,89,68,36,0.5294117647058824,0.4044943820224719,0.4585987261146497,150.5,142.77777777777777
50,0.0,200.0,100,71,68,11,0.16176470588235295,0.15492957746478872,0.15827338129496402,40.0,46.27272727272727
50,0.0,200.0,200,71,68,22,0.3235294117647059,0.30985915492957744,0.31654676258992803,103.0,105.9090909090909
50,0.0,200.0,300,71,68,30,0.4411764705882353,0.4225352112676056,0.43165467625899284,155.5,142.03333333333333
50,0.0,300.0,100,59,68,9,0.1323529411764706,0.15254237288135594,0.14173228346456693,50.0,52.22222222222222
50,0.0,300.0,200,59,68,21,0.3088235294117647,0.3559322033898305,0.33070866141732286,119.0,114.76190476190476
50,0.0,300.0,300,59,68,27,0.39705882352941174,0.4576271186440678,0.42519685039370075,151.0,143.7037037037037
50,0.0,400.0,100,53,68,8,0.11764705882352941,0.1509433962264151,0.1322314049586777,46.0,52.5
50,0.0,400.0,200,53,68,18,0.2647058823529412,0.33962264150943394,0.2975206611570248,124.0,114.5
50,0.0,400.0,300,53,68,24,0.35294117647058826,0.4528301886792453,0.3966942148760331,155.5,147.125
50,0.0,500.0,100,41,68,7,0.10294117647058823,0.17073170731707318,0.12844036697247704,41.0,55.57142857142857
50,0.0,500.0,200,41,68,14,0.20588235294117646,0.34146341463414637,0.2568807339449541,103.0,110.0
50,0.0,500.0,300,41,68,20,0.29411764705882354,0.4878048780487805,0.36697247706422015,160.5,150.5
50,0.1,0.0,100,105,68,15,0.22058823529411764,0.14285714285714285,0.17341040462427745,40.0,45.266666666666666
50,0.1,0.0,200,105,68,34,0.5,0.3238095238095238,0.3930635838150289,110.5,110.58823529411765
50,0.1,0.0,300,105,68,41,0.6029411764705882,0.3904761904761905,0.47398843930635837,150.0,137.29268292682926
50,0.1,80.0,100,95,68,15,0.22058823529411764,0.15789473684210525,0.18404907975460122,40.0,45.266666666666666
50,0.1,80.0,200,95,68,32,0.47058823529411764,0.3368421052631579,0.3926380368098159,109.5,106.53125
50,0.1,80.0,300,95,68,39,0.5735294117647058,0.4105263157894737,0.4785276073619632,139.0,135.33333333333334
50,0.1,90.0,100,95,68,15,0.22058823529411764,0.15789473684210525,0.18404907975460122,40.0,45.266666666666666
50,0.1,90.0,200,95,68,32,0.47058823529411764,0.3368421052631579,0.3926380368098159,109.5,106.53125
50,0.1,90.0,300,95,68,39,0.5735294117647058,0.4105263157894737,0.4785276073619632,139.0,135.33333333333334
50,0.1,100.0,100,95,68,15,0.22058823529411764,0.15789473684210525,0.18404907975460122,40.0,45.266666666666666
50,0.1,100.0,200,95,68,32,0.47058823529411764,0.3368421052631579,0.3926380368098159,109.5,106.53125
50,0.1,100.0,300,95,68,39,0.5735294117647058,0.4105263157894737,0.4785276073619632,139.0,135.33333333333334
50,0.1,110.0,100,79,68,13,0.19117647058823528,0.16455696202531644,0.17687074829931973,40.0,45.30769230769231
50,0.1,110.0,200,79,68,27,0.39705882352941174,0.34177215189873417,0.3673469387755102,109.0,104.03703703703704
50,0.1,110.0,300,79,68,35,0.5147058823529411,0.4430379746835443,0.4761904761904762,150.0,141.65714285714284
50,0.1,120.0,100,79,68,13,0.19117647058823528,0.16455696202531644,0.17687074829931973,40.0,45.30769230769231
50,0.1,120.0,200,79,68,27,0.39705882352941174,0.34177215189873417,0.3673469387755102,109.0,104.03703703703704
50,0.1,120.0,300,79,68,35,0.5147058823529411,0.4430379746835443,0.4761904761904762,150.0,141.65714285714284
50,0.1,130.0,100,79,68,13,0.19117647058823528,0.16455696202531644,0.17687074829931973,40.0,45.30769230769231
50,0.1,130.0,200,79,68,27,0.39705882352941174,0.34177215189873417,0.3673469387755102,109.0,104.03703703703704
50,0.1,130.0,300,79,68,35,0.5147058823529411,0.4430379746835443,0.4761904761904762,150.0,141.65714285714284
50,0.1,140.0,100,79,68,13,0.19117647058823528,0.16455696202531644,0.17687074829931973,40.0,45.30769230769231
50,0.1,140.0,200,79,68,27,0.39705882352941174,0.34177215189873417,0.3673469387755102,109.0,104.03703703703704
50,0.1,140.0,300,79,68,35,0.5147058823529411,0.4430379746835443,0.4761904761904762,150.0,141.65714285714284
