det_idx,det_age_yrBP
0,12800.0
1,14650.0
2,17150.0
3,17550.0
4,17850.0
5,20000.0
6,20550.0
7,21300.0
8,22800.0
9,23700.0
10,24600.0
11,25200.0
12,26150.0
13,28400.0
14,28650.0
15,29400.0
16,30700.0
17,30950.0
18,32050.0
19,32700.0
20,33450.0
21,34050.0
22,34650.0
23,35550.0
24,36650.0
25,38350.0
26,40000.0
27,41700.0
28,42450.0
29,43650.0
30,44600.0
31,45050.0
32,45750.0
33,47300.0
34,48950.0
35,49650.0
36,50600.0
37,53800.0
38,55300.0
39,55650.0
40,56500.0
41,58600.0
42,58800.0
43,59800.0
44,63600.0
45,65550.0
46,68700.0
47,69150.0
48,70150.0
49,72300.0
50,73350.0
51,75950.0
52,77550.0
53,78350.0
54,78950.0
55,80350.0
56,81400.0
57,84200.0
58,84800.0
59,84950.0
60,88400.0
61,90050.0
62,90400.0
63,91100.0
64,94200.0
65,96550.0
66,100100.0
67,102250.0
68,104600.0
69,105000.0
70,106350.0
71,108500.0
72,111350.0
73,114850.0
74,115150.0
75,115450.0
76,117600.0
77,118450.0
