detector,tol_yr,n_detected,n_matched,precision,recall,f1,median_abs_age_error_yr,mean_abs_age_error_yr
baseline_crossing,100,149,19,0.12751677852348994,0.27941176470588236,0.17511520737327188,40.0,44.1578947368421
baseline_crossing,200,149,36,0.24161073825503357,0.5294117647058824,0.33179723502304154,100.0,102.25
baseline_crossing,300,149,44,0.2953020134228188,0.6470588235294118,0.4055299539170507,144.5,134.0909090909091
selected_0.24_80yr,100,71,16,0.22535211267605634,0.23529411764705882,0.2302158273381295,40.0,45.0
selected_0.24_80yr,200,71,33,0.4647887323943662,0.4852941176470588,0.4748201438848921,109.0,104.54545454545455
selected_0.24_80yr,300,71,40,0.5633802816901409,0.5882352941176471,0.5755395683453237,129.5,132.975
