amp_sigma,min_persistence_yr,f1_100,f1_200,f1_300,median_abs_age_error_yr_100,median_abs_age_error_yr_200,median_abs_age_error_yr_300,n_detected_100,n_detected_200,n_detected_300,precision_100,precision_200,precision_300,recall_100,recall_200,recall_300,score_primary
0.0,0.0,0.16129032258064513,0.22043010752688175,0.29032258064516125,49.0,80.0,100.0,304.0,304.0,304.0,0.09868421052631579,0.13486842105263158,0.17763157894736842,0.4411764705882353,0.6029411764705882,0.7941176470588235,0.4691397849462365
0.0,80.0,0.20754716981132076,0.2830188679245283,0.38679245283018865,59.0,80.0,110.0,144.0,144.0,144.0,0.1527777777777778,0.20833333333333334,0.2847222222222222,0.3235294117647059,0.4411764705882353,0.6029411764705882,0.6239245283018867
0.0,90.0,0.20754716981132076,0.2830188679245283,0.38679245283018865,59.0,80.0,110.0,144.0,144.0,144.0,0.1527777777777778,0.20833333333333334,0.2847222222222222,0.3235294117647059,0.4411764705882353,0.6029411764705882,0.6239245283018867
0.0,100.0,0.20754716981132076,0.2830188679245283,0.38679245283018865,59.0,80.0,110.0,144.0,144.0,144.0,0.1527777777777778,0.20833333333333334,0.2847222222222222,0.3235294117647059,0.4411764705882353,0.6029411764705882,0.6239245283018867
0.0,110.0,0.25,0.32142857142857145,0.42857142857142855,49.0,70.0,94.0,100.0,100.0,100.0,0.21,0.27,0.36,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7159714285714286
0.0,120.0,0.25,0.32142857142857145,0.42857142857142855,49.0,70.0,94.0,100.0,100.0,100.0,0.21,0.27,0.36,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7159714285714286
0.0,130.0,0.25,0.32142857142857145,0.42857142857142855,49.0,70.0,94.0,100.0,100.0,100.0,0.21,0.27,0.36,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7159714285714286
0.0,140.0,0.25,0.32142857142857145,0.42857142857142855,49.0,70.0,94.0,100.0,100.0,100.0,0.21,0.27,0.36,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7159714285714286
0.0,150.0,0.25,0.32142857142857145,0.42857142857142855,49.0,70.0,94.0,100.0,100.0,100.0,0.21,0.27,0.36,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7159714285714286
0.0,200.0,0.24657534246575344,0.28767123287671237,0.4246575342465754,59.0,70.0,97.0,78.0,78.0,78.0,0.23076923076923078,0.2692307692307692,0.3974358974358974,0.2647058823529412,0.3088235294117647,0.45588235294117646,0.6858575342465754
