detector,tol_yr,n_detected,n_matched,precision,recall,f1,median_abs_age_error_yr,mean_abs_age_error_yr
baseline_crossing,100,304,30,0.09868421052631579,0.4411764705882353,0.16129032258064513,49.0,49.666666666666664
baseline_crossing,200,304,41,0.13486842105263158,0.6029411764705882,0.22043010752688175,80.0,80.07317073170732
baseline_crossing,300,304,54,0.17763157894736842,0.7941176470588235,0.29032258064516125,100.0,122.74074074074075
selected_0.50_110yr,100,78,19,0.24358974358974358,0.27941176470588236,0.2602739726027397,49.0,56.0
selected_0.50_110yr,200,78,25,0.32051282051282054,0.36764705882352944,0.34246575342465757,80.0,74.24
selected_0.50_110yr,300,78,35,0.44871794871794873,0.5147058823529411,0.4794520547945206,99.0,125.71428571428571
